"","书名","作者","出版社","出版日期","评分"
"1","撒哈拉的故事","三毛 "," 皇冠出版社 "," 1976 ","9.0"
"2","霍乱时期的爱情","[哥伦比亚] 加西亚·马尔克斯 "," 南海出版公司 "," 2012-9-1 ","9.0"
"3","许三观卖血记","余华 "," 南海出版公司 "," 1998-9 ","8.7"
"4","飘","[美国] 玛格丽特·米切尔 "," 译林出版社 "," 2000-9 ","9.3"
"5","边城","沈从文 "," 北岳文艺出版社 "," 2002-4 ","8.6"
"6","倾城之恋","花城出版社 ","花城出版社 "," 1997-3-1 ","8.5"
"7","送你一颗子弹","刘瑜 "," 上海三联书店 "," 2010-1 ","8.6"
"8","狼图腾","姜戎 "," 长江文艺出版社 "," 2004-4 ","8.2"
"9","哈利·波特与阿兹卡班的囚徒","[英] J. K. 罗琳 "," 人民文学出版社 "," 2000-9 ","9.0"
"10","盗墓笔记","南派三叔 "," 中国友谊出版公司 "," 2007-1 ","8.3"
"11","哈利·波特与火焰杯","[英] J. K. 罗琳 "," 人民文学出版社 "," 2001-5 ","9.0"
"12","情人","[法] 玛格丽特·杜拉斯 "," 上海译文出版社 "," 2005-7 ","8.1"
"13","哈利·波特与密室","[英] J. K. 罗琳 "," 人民文学出版社 "," 2000-9 ","8.9"
"14","人间失格","太宰治 "," 吉林出版集团有限责任公司 "," 2009年9月 ","8.3"
"15","万历十五年","[美] 黄仁宇 "," 生活·读书·新知三联书店 "," 1997-5 ","8.9"
"16","穆斯林的葬礼","霍达 "," 北京十月文艺出版社 "," 1988-12-1 ","8.1"
"17","窗边的小豆豆","[日] 黑柳彻子 著 "," 南海出版公司 "," 2003-1 ","8.7"
"18","老人与海","海明威 "," 上海译文出版社 "," 1999-10 ","8.4"
"19","1Q84 BOOK 1","[日] 村上春树 "," 南海出版公司 "," 2010-5 ","8.3"
"20","1984","[英] 乔治·奥威尔 "," 北京十月文艺出版社 "," 2010-4-1 ","9.3"
"21","黄金时代","王小波 "," 花城出版社 "," 1999-3 ","8.8"
"22","哈利·波特与混血王子","[英] J. K. 罗琳 "," 人民文学出版社 "," 2005-10 ","8.8"
"23","人类简史","[以色列] 尤瓦尔·赫拉利 "," 中信出版社 "," 2014-11 ","9.1"
"24","三国演义（全二册）","[明] 罗贯中 "," 人民文学出版社 "," 1998-05 ","9.2"
"25","向左走·向右走","幾米 "," 生活·读书·新知三联书店 "," 2002-8 ","8.4"
"26","哈利·波特与凤凰社","[英] J. K. 罗琳 "," 人民文学出版社 "," 2003-9 ","8.7"
"27","悟空传","今何在 "," 光明日报出版社 "," 2001-4 ","8.3"
"28","牧羊少年奇幻之旅","[巴西]保罗·柯艾略 "," 南海出版公司 "," 2009-3-1 ","8.6"
